subj,task,session,list,word,category,intrusion,rectime
R1016M,catFR1,1,18,CREEK,Landscapes,0,1.05
R1016M,catFR1,1,18,SANDER,Tools,0,9.85
R1016M,catFR1,1,18,SAW,Tools,0,15.609
R1016M,catFR1,1,18,WRENCH,Tools,0,19.997
R1016M,catFR1,1,19,BLOUSE,Clothing,0,1.528
R1016M,catFR1,1,20,SPRUCE,Trees,0,2.646
R1016M,catFR1,1,20,PINETREE,X,-1,3.602
R1016M,catFR1,1,20,OAK,Trees,0,4.538
R1016M,catFR1,1,20,WILLOW,Trees,0,5.862
R1016M,catFR1,1,20,MAPLE,X,10,28.366
R1016M,catFR1,1,21,MOTH,Insects,0,2.192
R1016M,catFR1,1,21,ROACH,Insects,0,9.039
R1016M,catFR1,1,22,BASKETBALL,X,7,3.259
R1016M,catFR1,1,22,FOOTBALL,Toys,0,12.108
R1016M,catFR1,1,22,BASEBALL,Toys,0,26.259
R1016M,catFR1,1,23,TIGER,Zoo,0,1.505
R1016M,catFR1,1,23,RIVER,Landscapes,0,2.906
R1016M,catFR1,1,23,PANDA,Zoo,0,5.34
R1016M,catFR1,1,23,LAKE,Landscapes,0,7.48
R1016M,catFR1,1,24,TELEVISION,Electronics,0,3.333
R1016M,catFR1,1,24,COMPUTER,Electronics,0,4.695
R1016M,catFR1,1,24,CALCULATOR,X,15,7.79
R1016M,catFR1,1,24,MICROWAVE,Electronics,0,13.571
R1016M,catFR1,1,24,LILAC,X,16,17.508
R1016M,catFR1,1,24,LILY,Flowers,0,21.487
R1016M,catFR1,1,24,GRATER,X,3,27.537
R1016M,catFR1,1,25,JUICE,Beverages,0,2.711
R1016M,catFR1,1,25,KNEE,BodyParts,0,3.842
R1016M,catFR1,1,25,RING,X,-1,6.598
R1016M,catFR1,1,25,TOE,BodyParts,0,9.931
R1016M,catFR1,1,25,EAR,BodyParts,0,14.569
R1016M,catFR1,1,25,LEG,BodyParts,0,21.47
R1021D,catFR1,0,1,RADIO,Electronics,0,1.623
R1021D,catFR1,0,1,STEREO,Electronics,0,3.096
R1021D,catFR1,0,1,CELERY,Vegetables,0,5.914
R1021D,catFR1,0,1,BROCCOLI,Vegetables,0,8.502
R1021D,catFR1,0,1,CHIMPANZEE,Zoo,0,13.866
R1021D,catFR1,0,1,MONKEY,Zoo,0,16.469
R1021D,catFR1,0,2,DRILL,Tools,0,1.728
R1021D,catFR1,0,2,SOFA,Furniture,0,3.875
R1021D,catFR1,0,2,RECLINER,Furniture,0,5.065
R1021D,catFR1,0,2,SCREWDRIVER,Tools,0,8.69
R1021D,catFR1,0,2,HAMMER,Tools,0,9.769
R1021D,catFR1,0,2,PLUS,X,-1,19.48
R1021D,catFR1,0,3,RIVER,Landscapes,0,2.468
R1021D,catFR1,0,3,HILLS,Landscapes,0,4.561
R1021D,catFR1,0,3,PLUS,X,-1,8.278
R1021D,catFR1,0,3,JEANS,Clothing,0,12.784
R1021D,catFR1,0,3,BLOUSE,Clothing,0,14.331
R1021D,catFR1,0,3,SKIRT,Clothing,0,17.41
R1021D,catFR1,0,4,TRAIN,Vehicles,0,2.032
R1021D,catFR1,0,4,JELLYFISH,OceanAnimals,0,3.404
R1021D,catFR1,0,4,FISH,OceanAnimals,0,4.655
R1021D,catFR1,0,4,BOAT,Vehicles,0,7.526
R1021D,catFR1,0,4,PLUS,X,-1,9.411
R1021D,catFR1,0,4,LOBSTER,OceanAnimals,0,16.806
R1021D,catFR1,0,4,SHRIMP,OceanAnimals,0,18.033
R1021D,catFR1,0,5,FUDGE,Desserts,0,1.641
R1021D,catFR1,0,5,PLUS,X,-1,5.643
R1021D,catFR1,0,6,LAKE,Landscapes,0,0.937
R1021D,catFR1,0,6,OCEAN,Landscapes,0,3.151
R1021D,catFR1,0,6,PLUS,X,-1,5.89
R1021D,catFR1,0,6,TURKEY,FarmAnimals,0,8.452
R1021D,catFR1,0,6,BLUEBERRY,Fruit,0,18.108
R1021D,catFR1,0,6,STRAWBERRY,Fruit,0,19.296
R1021D,catFR1,0,6,BANANA,Fruit,0,21.631
R1021D,catFR1,0,7,PENCIL,OfficeSupplies,0,8.784
R1021D,catFR1,0,7,MARKER,OfficeSupplies,0,10.622
R1021D,catFR1,0,7,ERASER,OfficeSupplies,0,11.972
R1021D,catFR1,0,7,PLUS,X,-1,26.95
R1021D,catFR1,0,8,LILY,Flowers,0,1.15
R1021D,catFR1,0,8,PLANE,Vehicles,0,3.244
R1021D,catFR1,0,8,PLUS,X,-1,4.839
R1021D,catFR1,0,8,BIKE,Vehicles,0,18.934
R1021D,catFR1,0,8,BUS,Vehicles,0,22.423
R1021D,catFR1,0,9,CAR,Vehicles,0,2.069
R1021D,catFR1,0,9,PLUS,X,-1,6.49
R1021D,catFR1,0,9,TRUCK,X,5,16.885
R1021D,catFR1,0,9,MOTORCYCLE,Vehicles,0,21.773
R1021D,catFR1,0,9,SOCCER,X,-1,23.636
R1021D,catFR1,0,9,BALL,X,-1,24.252
R1021D,catFR1,0,10,SNOW,Weather,0,0.82
R1021D,catFR1,0,10,RAIN,Weather,0,1.547
R1021D,catFR1,0,10,BASKETBALL,Toys,0,2.474
R1021D,catFR1,0,10,LIGHTNING,Weather,0,3.563
R1021D,catFR1,0,10,BOLT,X,-1,4.148
R1021D,catFR1,0,10,BALL,Toys,0,6.284
R1021D,catFR1,0,10,PLUS,X,-1,9.169
R1021D,catFR1,0,10,FROG,X,-1,23.553
R1021D,catFR1,0,11,LADY,X,-1,1.021
R1021D,catFR1,0,11,PLUS,X,-1,5.305
R1021D,catFR1,0,11,CHEESECAKE,Desserts,0,6.389
R1021D,catFR1,0,11,CAKE,Desserts,0,7.553
R1021D,catFR1,0,11,TURKEY,X,5,22.283
R1021D,catFR1,0,12,HAWK,Birds,0,1.103
R1021D,catFR1,0,12,SPIDER,Insects,0,1.979
R1021D,catFR1,0,12,PLUS,X,-1,8.562
R1021D,catFR1,0,12,CROW,Birds,0,12.875
R1021D,catFR1,0,12,CALCULATOR,Electronics,0,14.335
R1021D,catFR1,0,12,BEETLE,Insects,0,16.574
R1021D,catFR1,0,13,HICKORY,Trees,0,1.127
R1021D,catFR1,0,13,CROWBAR,Tools,0,1.872
R1021D,catFR1,0,13,SAW,Tools,0,2.908
R1021D,catFR1,0,13,PLUS,X,-1,4.025
R1021D,catFR1,0,13,DISHWASHER,Appliances,0,12.749
R1021D,catFR1,0,14,PLUS,X,-1,1.27
R1021D,catFR1,0,14,LEMON,Fruit,0,3.669
R1021D,catFR1,0,14,APPLE,X,8,5.562
R1021D,catFR1,0,15,SQUID,OceanAnimals,0,0.719
R1021D,catFR1,0,15,OYSTER,OceanAnimals,0,2.33
R1021D,catFR1,0,15,CEILING,Building,0,7.297
R1021D,catFR1,0,15,WINDOW,Building,0,20.217
R1021D,catFR1,0,16,TORNADO,Weather,0,1.205
R1021D,catFR1,0,16,HURRICANE,Weather,0,2.323
R1021D,catFR1,0,16,CLOUD,Weather,0,10.967
R1021D,catFR1,0,16,WHISKEY,X,-1,16.479
R1021D,catFR1,0,17,CHAIR,Furniture,0,1.022
R1021D,catFR1,0,17,DRESSER,Furniture,0,1.723
R1021D,catFR1,0,17,ELEPHANT,Zoo,0,4.711
R1021D,catFR1,0,17,WINDOW,X,2,15.618
R1021D,catFR1,0,18,FINCH,Birds,0,0.627
R1021D,catFR1,0,18,ROBIN,Birds,0,1.366
R1021D,catFR1,0,19,COW,FarmAnimals,0,1.024
R1021D,catFR1,0,19,WINDOW,X,4,4.478
R1021D,catFR1,0,19,BIRCH,Trees,0,6.906
R1021D,catFR1,0,19,THUNDER,X,1,28.07
R1021D,catFR1,0,20,CAULIFLOWER,Vegetables,0,0.747
R1021D,catFR1,0,20,ORCHARD,X,-1,2.776
R1021D,catFR1,0,20,VELVET,X,-1,8.897
R1021D,catFR1,0,22,VACUUM,Appliances,0,1.277
R1021D,catFR1,0,22,OCTOPUS,OceanAnimals,0,2.421
R1021D,catFR1,0,22,TURTLE,OceanAnimals,0,4.244
R1021D,catFR1,0,22,DRYER,X,9,16.645
R1021D,catFR1,0,23,BEER,X,-1,1.41
R1021D,catFR1,0,23,REFRIGERATOR,Appliances,0,25.327
R1021D,catFR1,0,24,PIE,Desserts,0,1.652
R1021D,catFR1,0,24,CUPCAKE,Desserts,0,4.226
R1021D,catFR1,0,24,BEER,Beverages,0,7.046
R1021D,catFR1,0,24,FOOT,BodyParts,0,9.912
R1021D,catFR1,0,24,COOKIE,Desserts,0,16.084
R1021D,catFR1,0,24,LEMON,X,10,25.481
